locus,supertype,pip_weighted_accessibility,total_pip,n_variants
rs6673880,Astro_1,0.06293082,0.27668000000000004,3
rs6673880,Astro_2,0.071207434,0.27668000000000004,3
rs6673880,Astro_3,0.06266355,0.27668000000000004,3
rs6673880,Astro_4,0.06218452,0.27668000000000004,3
rs6673880,Astro_5,0.05585132,0.27668000000000004,3
rs6673880,Astro_6-SEAAD,0.0720566,0.27668000000000004,3
rs6673880,Chandelier_1,0.12290623,0.27668000000000004,3
rs6673880,Chandelier_2,0.12839319,0.27668000000000004,3
rs6673880,Endo_1,0.030764785,0.27668000000000004,3
rs6673880,Endo_2,0.015192486,0.27668000000000004,3
rs6673880,Endo_3,0.023407986,0.27668000000000004,3
rs6673880,L2/3 IT_1,0.16021521,0.27668000000000004,3
rs6673880,L2/3 IT_10,0.21845748,0.27668000000000004,3
rs6673880,L2/3 IT_12,0.2298805,0.27668000000000004,3
rs6673880,L2/3 IT_13,0.2484587,0.27668000000000004,3
rs6673880,L2/3 IT_2,0.1920754,0.27668000000000004,3
rs6673880,L2/3 IT_3,0.25218207,0.27668000000000004,3
rs6673880,L2/3 IT_5,0.23951928,0.27668000000000004,3
rs6673880,L2/3 IT_6,0.1420219,0.27668000000000004,3
rs6673880,L2/3 IT_7,0.12153531,0.27668000000000004,3
rs6673880,L2/3 IT_8,0.19186863,0.27668000000000004,3
rs6673880,L4 IT_1,0.20920913,0.27668000000000004,3
rs6673880,L4 IT_2,0.23626997,0.27668000000000004,3
rs6673880,L4 IT_3,0.23032221,0.27668000000000004,3
rs6673880,L4 IT_4,0.20621435,0.27668000000000004,3
rs6673880,L5 ET_1,0.24223974,0.27668000000000004,3
rs6673880,L5 ET_2,0.2726578,0.27668000000000004,3
rs6673880,L5 IT_1,0.24407497,0.27668000000000004,3
rs6673880,L5 IT_2,0.21658398,0.27668000000000004,3
rs6673880,L5 IT_3,0.24504548,0.27668000000000004,3
rs6673880,L5 IT_5,0.26190072,0.27668000000000004,3
rs6673880,L5 IT_6,0.2584327,0.27668000000000004,3
rs6673880,L5 IT_7,0.25371337,0.27668000000000004,3
rs6673880,L5/6 NP_1,0.18121254,0.27668000000000004,3
rs6673880,L5/6 NP_2,0.22207382,0.27668000000000004,3
rs6673880,L5/6 NP_3,0.20887804,0.27668000000000004,3
rs6673880,L5/6 NP_4,0.13720822,0.27668000000000004,3
rs6673880,L5/6 NP_6,0.21896529,0.27668000000000004,3
rs6673880,L6 CT_1,0.12881497,0.27668000000000004,3
rs6673880,L6 CT_2,0.14973858,0.27668000000000004,3
rs6673880,L6 CT_3,0.19325498,0.27668000000000004,3
rs6673880,L6 CT_4,0.15582432,0.27668000000000004,3
rs6673880,L6 IT Car3_1,0.19060536,0.27668000000000004,3
rs6673880,L6 IT Car3_2,0.20471433,0.27668000000000004,3
rs6673880,L6 IT Car3_3,0.19613019,0.27668000000000004,3
rs6673880,L6 IT_1,0.21312523,0.27668000000000004,3
rs6673880,L6 IT_2,0.21664047,0.27668000000000004,3
rs6673880,L6b_1,0.14631203,0.27668000000000004,3
rs6673880,L6b_2,0.15045165,0.27668000000000004,3
rs6673880,L6b_3,0.1660629,0.27668000000000004,3
rs6673880,L6b_4,0.13452117,0.27668000000000004,3
rs6673880,L6b_5,0.13963656,0.27668000000000004,3
rs6673880,L6b_6,0.1998012,0.27668000000000004,3
rs6673880,Lamp5_1,0.10697193,0.27668000000000004,3
rs6673880,Lamp5_2,0.117040284,0.27668000000000004,3
rs6673880,Lamp5_3,0.1193434,0.27668000000000004,3
rs6673880,Lamp5_4,0.08254379,0.27668000000000004,3
rs6673880,Lamp5_5,0.06704871,0.27668000000000004,3
rs6673880,Lamp5_6,0.06686749,0.27668000000000004,3
rs6673880,Lamp5_Lhx6_1,0.16469789,0.27668000000000004,3
rs6673880,Lymphocyte,0.019666985,0.27668000000000004,3
rs6673880,Micro-PVM_1,0.01961513,0.27668000000000004,3
rs6673880,Micro-PVM_2,0.049786363,0.27668000000000004,3
rs6673880,Micro-PVM_2_1-SEAAD,0.10328177,0.27668000000000004,3
rs6673880,Micro-PVM_2_3-SEAAD,0.048146524,0.27668000000000004,3
rs6673880,Micro-PVM_3-SEAAD,0.04116121,0.27668000000000004,3
rs6673880,Micro-PVM_4-SEAAD,0.040127978,0.27668000000000004,3
rs6673880,Monocyte,0.018890657,0.27668000000000004,3
rs6673880,OPC_1,0.108581595,0.27668000000000004,3
rs6673880,OPC_2,0.04259281,0.27668000000000004,3
rs6673880,OPC_2_1-SEAAD,0.02704508,0.27668000000000004,3
rs6673880,OPC_2_2-SEAAD,0.03760797,0.27668000000000004,3
rs6673880,Oligo_1,0.036606055,0.27668000000000004,3
rs6673880,Oligo_2,0.02637615,0.27668000000000004,3
rs6673880,Oligo_2_1-SEAAD,0.024454152,0.27668000000000004,3
rs6673880,Oligo_3,0.02977237,0.27668000000000004,3
rs6673880,Oligo_4,0.026482087,0.27668000000000004,3
rs6673880,Pax6_1,0.07660589,0.27668000000000004,3
rs6673880,Pax6_2,0.06810654,0.27668000000000004,3
rs6673880,Pax6_3,0.06996835,0.27668000000000004,3
rs6673880,Pax6_4,0.07579766,0.27668000000000004,3
rs6673880,Pericyte_1,0.039445683,0.27668000000000004,3
rs6673880,Pericyte_2-SEAAD,0.032629315,0.27668000000000004,3
