symbol,strand,seg_type,is_hcn1,start_mb,stop_mb,lane
LOC124901180,+,UTR,False,45.227464,45.22756,0
LOC124901180,+,UTR,False,45.228083,45.22843,0
HCN1,-,UTR,True,45.254947,45.26192,1
HCN1,-,CDS,True,45.26192,45.26281,1
HCN1,-,CDS,True,45.267088,45.267253,1
HCN1,-,CDS,True,45.303598,45.303839,1
HCN1,-,CDS,True,45.353099,45.353246,1
HCN1,-,CDS,True,45.396491,45.39671,1
HCN1,-,CDS,True,45.461845,45.462007,1
HCN1,-,CDS,True,45.645184,45.645608,1
HCN1,-,CDS,True,45.695668,45.696093,1
HCN1,-,UTR,True,45.696093,45.69638,1
